cal BP,Posterior probability
80,1.9968051118210863E-5
90,0.0
100,0.0
110,0.0
120,1.9968051118210863E-5
130,3.9936102236421726E-5
140,3.9936102236421726E-5
150,5.990415335463259E-5
160,3.9936102236421726E-5
170,1.597444089456869E-4
180,1.1980830670926518E-4
190,7.987220447284345E-5
200,1.9968051118210863E-5
210,1.3977635782747605E-4
220,1.7971246006389776E-4
230,3.793929712460064E-4
240,3.3945686900958464E-4
250,6.190095846645367E-4
260,7.388178913738019E-4
270,6.988817891373802E-4
280,0.0014576677316293929
290,0.0019169329073482429
300,0.002336261980830671
310,0.00323482428115016
320,0.004273162939297125
330,0.005491214057507987
340,0.00762779552715655
350,0.009225239616613418
360,0.011182108626198083
370,0.011721246006389777
380,0.01569488817891374
390,0.017891373801916934
400,0.020087859424920126
410,0.021845047923322685
420,0.02498003194888179
430,0.026038338658146965
440,0.0310702875399361
450,0.03031150159744409
460,0.03294728434504792
470,0.03314696485623003
480,0.03340654952076677
490,0.03552316293929712
500,0.035603035143769966
510,0.0347444089456869
520,0.03496405750798722
530,0.032308306709265176
540,0.03125
550,0.030491214057507987
560,0.03035143769968051
570,0.02943290734824281
580,0.026697284345047922
590,0.025898562300319488
600,0.023123003194888178
610,0.022404153354632587
620,0.02078674121405751
630,0.019069488817891375
640,0.018150958466453673
650,0.01669329073482428
660,0.01551517571884984
670,0.014017571884984025
680,0.013817891373801917
690,0.013398562300319489
700,0.012659744408945687
710,0.010942492012779553
720,0.009844249201277955
730,0.009065495207667732
740,0.008666134185303515
750,0.008686102236421725
760,0.007128594249201278
770,0.0073282747603833865
780,0.006010383386581469
790,0.0051517571884984025
800,0.004872204472843451
810,0.004452875399361023
820,0.00463258785942492
830,0.003893769968051118
840,0.003354632587859425
850,0.0032547923322683706
860,0.0025359424920127797
870,0.0020766773162939297
880,0.0019568690095846646
890,0.0016573482428115017
900,0.0013378594249201278
910,0.0011182108626198084
920,0.001178115015974441
930,6.988817891373802E-4
940,0.001018370607028754
950,7.388178913738019E-4
960,3.793929712460064E-4
970,3.793929712460064E-4
980,2.196485623003195E-4
990,1.9968051118210862E-4
1000,2.3961661341853036E-4
1010,1.3977635782747605E-4
1020,3.9936102236421726E-5
1030,9.984025559105431E-5
1040,9.984025559105431E-5
1050,0.0
1060,7.987220447284345E-5
1070,3.9936102236421726E-5
