cal BP,Posterior probability
-1300,1.9968051118210863E-5
-1290,0.0
-1280,1.9968051118210863E-5
-1270,5.990415335463259E-5
-1260,5.990415335463259E-5
-1250,7.987220447284345E-5
-1240,1.7971246006389776E-4
-1230,4.193290734824281E-4
-1220,3.3945686900958464E-4
-1210,5.990415335463259E-4
-1200,6.988817891373802E-4
-1190,8.78594249201278E-4
-1180,0.001018370607028754
-1170,0.0014177316293929713
-1160,0.0016573482428115017
-1150,0.0018170926517571886
-1140,0.001996805111821086
-1130,0.0022763578274760383
-1120,0.0026956869009584663
-1110,0.0028554313099041534
-1100,0.0030351437699680513
-1090,0.003174920127795527
-1080,0.003654153354632588
-1070,0.003634185303514377
-1060,0.0037340255591054314
-1050,0.003913738019169329
-1040,0.0038538338658146965
-1030,0.004113418530351438
-1020,0.004812300319488818
-1010,0.005111821086261981
-1000,0.004772364217252396
-990,0.005231629392971246
-980,0.004892172523961662
-970,0.005451277955271566
-960,0.006210063897763578
-950,0.0060702875399361025
-940,0.006289936102236422
-930,0.006849041533546326
-920,0.007268370607028754
-910,0.007787539936102236
-900,0.007927316293929712
-890,0.009085463258785943
-880,0.008885782747603833
-870,0.00970447284345048
-860,0.011062300319488818
-850,0.010962460063897764
-840,0.011461661341853035
-830,0.011541533546325878
-820,0.013817891373801917
-810,0.013258785942492014
-800,0.01437699680511182
-790,0.015235623003194889
-780,0.01621405750798722
-770,0.017891373801916934
-760,0.019069488817891375
-750,0.01970846645367412
-740,0.020746805111821087
-730,0.02270367412140575
-720,0.025858626198083066
-710,0.025139776357827475
-700,0.029452875399361023
-690,0.03079073482428115
-680,0.033905750798722045
-670,0.03827875399361022
-660,0.03827875399361022
-650,0.04085463258785942
-640,0.04287140575079872
-630,0.04261182108626198
-620,0.04111421725239617
-610,0.03636182108626198
-600,0.03242811501597444
-590,0.032328274760383385
-580,0.03125
-570,0.029952076677316294
-560,0.02897364217252396
-550,0.019828274760383388
-540,0.010802715654952076
-530,0.0059105431309904154
-520,0.0022763578274760383
-510,0.0015375399361022364
-500,7.388178913738019E-4
-490,4.5926517571884983E-4
-480,4.992012779552715E-4
-470,2.995207667731629E-4
-460,3.594249201277955E-4
-450,3.194888178913738E-4
-440,3.9936102236421724E-4
-430,3.194888178913738E-4
-420,2.995207667731629E-4
-410,3.3945686900958464E-4
-400,2.595846645367412E-4
-390,4.792332268370607E-4
-380,5.191693290734824E-4
-370,3.3945686900958464E-4
-360,4.193290734824281E-4
-350,2.795527156549521E-4
-340,1.9968051118210862E-4
-330,5.990415335463259E-5
