cal BP,Posterior probability
-660,1.9968051118210863E-5
-650,0.0
-640,0.0
-630,0.0
-620,1.9968051118210863E-5
-610,0.0
-600,0.0
-590,1.9968051118210863E-5
-580,1.9968051118210863E-5
-570,0.0
-560,5.990415335463259E-5
-550,0.0
-540,1.9968051118210863E-5
-530,3.9936102236421726E-5
-520,9.984025559105431E-5
-510,7.987220447284345E-5
-500,3.9936102236421726E-5
-490,9.984025559105431E-5
-480,2.196485623003195E-4
-470,2.196485623003195E-4
-460,4.39297124600639E-4
-450,4.992012779552715E-4
-440,4.5926517571884983E-4
-430,6.389776357827476E-4
-420,5.191693290734824E-4
-410,9.384984025559105E-4
-400,9.384984025559105E-4
-390,0.00115814696485623
-380,0.0013777955271565496
-370,0.0012380191693290735
-360,0.0014576677316293929
-350,0.0019369009584664536
-340,0.0021365814696485625
-330,0.0019369009584664536
-320,0.002296325878594249
-310,0.0022563897763578276
-300,0.0025159744408945685
-290,0.0029752396166134185
-280,0.002935303514376997
-270,0.0034544728434504793
-260,0.0036940894568690094
-250,0.0038538338658146965
-240,0.004053514376996805
-230,0.004193290734824281
-220,0.0045726837060702874
-210,0.004213258785942492
-200,0.004093450479233227
-190,0.0047324281150159745
-180,0.006010383386581469
-170,0.005591054313099041
-160,0.006349840255591054
-150,0.005930511182108626
-140,0.005970447284345048
-130,0.00603035143769968
-120,0.00788738019169329
-110,0.007687699680511182
-100,0.008386581469648562
-90,0.006789137380191693
-80,0.007927316293929712
-70,0.009844249201277955
-60,0.009125399361022364
-50,0.009924121405750799
-40,0.009764376996805112
-30,0.010103833865814697
-20,0.010523162939297125
-10,0.012000798722044728
0,0.012619808306709265
10,0.012300319488817891
20,0.012699680511182108
30,0.013678115015974442
40,0.014536741214057508
50,0.015315495207667732
60,0.015634984025559105
70,0.017711661341853036
80,0.017412140575079872
90,0.01944888178913738
100,0.019069488817891375
110,0.019329073482428114
120,0.021425718849840257
130,0.02222444089456869
140,0.022843450479233227
150,0.023182907348242812
160,0.02410143769968051
170,0.023921725239616613
180,0.0240814696485623
190,0.025539137380191694
200,0.024600638977635782
210,0.024021565495207668
220,0.02378194888178914
230,0.022623801916932907
240,0.02110623003194888
250,0.022543929712460064
260,0.019568690095846646
270,0.01847044728434505
280,0.017731629392971245
290,0.016813099041533545
300,0.01527555910543131
310,0.014157348242811502
320,0.013797923322683706
330,0.012400159744408945
340,0.012120607028753994
350,0.011421725239616614
360,0.009624600638977635
370,0.009444888178913738
380,0.00902555910543131
390,0.007907348242811502
400,0.008306709265175719
410,0.0069089456869009585
420,0.006389776357827476
430,0.006389776357827476
440,0.005710862619808307
450,0.005051916932907349
460,0.005011980830670926
470,0.004532747603833866
480,0.004373003194888179
490,0.003594249201277955
500,0.003174920127795527
510,0.0033146964856230034
520,0.002595846645367412
530,0.0025559105431309905
540,0.0021565495207667732
550,0.0019568690095846646
560,0.0018370607028753993
570,0.00161741214057508
580,0.00115814696485623
590,0.001018370607028754
600,8.586261980830671E-4
610,6.589456869009585E-4
620,7.388178913738019E-4
630,8.386581469648562E-4
640,5.191693290734824E-4
650,3.194888178913738E-4
660,3.9936102236421724E-4
670,4.39297124600639E-4
680,3.594249201277955E-4
690,2.196485623003195E-4
700,2.196485623003195E-4
710,9.984025559105431E-5
720,2.196485623003195E-4
730,7.987220447284345E-5
740,1.1980830670926518E-4
750,1.9968051118210863E-5
760,3.9936102236421726E-5
770,9.984025559105431E-5
780,5.990415335463259E-5
790,5.990415335463259E-5
800,0.0
810,5.990415335463259E-5
820,0.0
830,0.0
840,3.9936102236421726E-5
850,1.9968051118210863E-5
860,1.9968051118210863E-5
