cal BP,Posterior probability
-330,1.990208175775186E-5
-320,0.0
-310,0.0
-300,0.0
-290,1.990208175775186E-5
-280,1.990208175775186E-5
-270,0.0
-260,0.0
-250,0.0
-240,0.0
-230,1.990208175775186E-5
-220,1.990208175775186E-5
-210,5.9706245273255584E-5
-200,9.95104087887593E-5
-190,1.990208175775186E-5
-180,5.9706245273255584E-5
-170,1.990208175775186E-5
-160,3.980416351550372E-5
-150,3.980416351550372E-5
-140,1.1941249054651117E-4
-130,7.960832703100745E-5
-120,1.990208175775186E-4
-110,1.1941249054651117E-4
-100,9.95104087887593E-5
-90,2.1892289933527048E-4
-80,1.7911873581976675E-4
-70,5.970624527325559E-4
-60,2.9853122636627793E-4
-50,5.572582892170521E-4
-40,5.572582892170521E-4
-30,6.766707797635633E-4
-20,5.373562074593003E-4
-10,0.0011145165784341043
0,0.0011941249054651117
10,0.0015125582135891414
20,0.001691676949408908
30,0.002149424829837201
40,0.00288580185487402
50,0.003283843490029057
60,0.0036022767981530868
70,0.004438164231978665
80,0.005592484973928273
90,0.007363770250368188
100,0.008378776420013534
110,0.010110257532937945
120,0.012478605262110417
130,0.014289694702065836
140,0.017633244437368148
150,0.019504040122596825
160,0.025096525096525095
170,0.026589181228356486
180,0.03130597460494368
190,0.034729132667277
200,0.035764040918680094
210,0.04050073637702504
220,0.0417545675277634
230,0.04105799466624209
240,0.04065995303108705
250,0.041038092584484334
260,0.03763483660390877
270,0.03689845957887195
280,0.03520678262946304
290,0.03327628069896111
300,0.029315766429168492
310,0.026688691637145247
320,0.026648887473629743
330,0.023982008518090993
340,0.021912192015284798
350,0.021454444134856508
360,0.020160808820602637
370,0.019086096405684035
380,0.015543525852804203
390,0.015145484217649167
400,0.014468813437885603
410,0.01359312184054452
420,0.012379094853321657
430,0.011702424073558095
440,0.010966047048521275
450,0.009373880507901127
460,0.009174859690323608
470,0.008120049357162758
480,0.007503084822672451
490,0.007105043187517414
500,0.005950722445567806
510,0.005214345420530987
520,0.005632289137443776
530,0.004836205867133702
540,0.004856107948891454
550,0.003841101779246109
560,0.0033634518170600645
570,0.0029256060183895237
580,0.0024479560562034788
590,0.0024877602197189825
600,0.002149424829837201
610,0.0018309915217131713
620,0.0015921665406201488
630,9.353978426143375E-4
640,6.766707797635633E-4
650,9.154957608565856E-4
660,5.572582892170521E-4
670,3.980416351550372E-4
680,3.980416351550372E-4
690,1.3931457230426304E-4
700,2.7862914460852607E-4
710,1.7911873581976675E-4
720,9.95104087887593E-5
730,7.960832703100745E-5
740,9.95104087887593E-5
750,3.980416351550372E-5
760,3.980416351550372E-5
770,1.1941249054651117E-4
780,5.9706245273255584E-5
790,3.980416351550372E-5
800,3.980416351550372E-5
810,0.0
820,0.0
830,0.0
840,0.0
850,1.990208175775186E-5
860,1.990208175775186E-5
