cal BP,Posterior probability
-580,1.9968051118210863E-5
-570,0.0
-560,0.0
-550,1.9968051118210863E-5
-540,0.0
-530,5.990415335463259E-5
-520,5.990415335463259E-5
-510,5.990415335463259E-5
-500,5.990415335463259E-5
-490,5.990415335463259E-5
-480,1.7971246006389776E-4
-470,7.987220447284345E-5
-460,5.990415335463259E-5
-450,2.795527156549521E-4
-440,3.594249201277955E-4
-430,2.995207667731629E-4
-420,3.9936102236421724E-4
-410,5.191693290734824E-4
-400,5.79073482428115E-4
-390,0.0011381789137380192
-380,0.00115814696485623
-370,0.0011182108626198084
-360,0.001297923322683706
-350,0.001178115015974441
-340,0.0015375399361022364
-330,0.0015774760383386582
-320,0.0019169329073482429
-310,0.002296325878594249
-300,0.0019369009584664536
-290,0.0026757188498402556
-280,0.0021365814696485625
-270,0.002655750798722045
-260,0.002476038338658147
-250,0.003174920127795527
-240,0.0031549520766773163
-230,0.0033945686900958465
-220,0.004033546325878594
-210,0.003973642172523962
-200,0.004253194888178914
-190,0.0044728434504792336
-180,0.00439297124600639
-170,0.004892172523961662
-160,0.004952076677316294
-150,0.004792332268370607
-140,0.005531150159744409
-130,0.00579073482428115
-120,0.006649361022364218
-110,0.007068690095846646
-100,0.007468051118210863
-90,0.007527955271565495
-80,0.00854632587859425
-70,0.008646166134185304
-60,0.0088258785942492
-50,0.009804313099041534
-40,0.009305111821086263
-30,0.011162140575079872
-20,0.010682907348242811
-10,0.011521565495207668
0,0.01248003194888179
10,0.012899361022364218
20,0.013837859424920128
30,0.015575079872204472
40,0.01591453674121406
50,0.017511980830670928
60,0.019029552715654954
70,0.020127795527156548
80,0.02146565495207668
90,0.022803514376996806
100,0.02362220447284345
110,0.025539137380191694
120,0.026078274760383387
130,0.026098242811501596
140,0.028274760383386582
150,0.0275758785942492
160,0.02801517571884984
170,0.028734025559105432
180,0.02773562300319489
190,0.02707667731629393
200,0.026178115015974442
210,0.026537539936102236
220,0.024600638977635782
230,0.022384185303514378
240,0.02088658146964856
250,0.02128594249201278
260,0.018909744408945686
270,0.017192492012779552
280,0.01569488817891374
290,0.015834664536741216
300,0.014456869009584665
310,0.012799520766773162
320,0.011162140575079872
330,0.011541533546325878
340,0.010143769968051119
350,0.009404952076677317
360,0.008726038338658147
370,0.00810702875399361
380,0.007727635782747604
390,0.006869009584664537
400,0.00579073482428115
410,0.005511182108626198
420,0.005491214057507987
430,0.0044728434504792336
440,0.00417332268370607
450,0.003993610223642172
460,0.003514376996805112
470,0.00301517571884984
480,0.0033746006389776357
490,0.0025159744408945685
500,0.0021166134185303513
510,0.0019369009584664536
520,0.0018370607028753993
530,0.0017172523961661342
540,0.0013578274760383386
550,0.0010583067092651756
560,0.0011381789137380192
570,8.586261980830671E-4
580,6.589456869009585E-4
590,5.990415335463259E-4
600,4.39297124600639E-4
610,3.793929712460064E-4
620,1.7971246006389776E-4
630,1.3977635782747605E-4
640,2.196485623003195E-4
650,1.3977635782747605E-4
660,7.987220447284345E-5
670,3.9936102236421726E-5
680,5.990415335463259E-5
690,3.9936102236421726E-5
700,0.0
710,1.9968051118210863E-5
720,0.0
730,0.0
740,0.0
750,3.9936102236421726E-5
760,0.0
770,3.9936102236421726E-5
